trial_id,model,m,truth_country,lure_country,lure_relation,crop_condition,false_memory_count,true_memory_count,rep,seed,crop_crop_index,crop_top,crop_left,crop_height,crop_width,crop_compatible_country_count,crop_compatible_countries,crop_informativeness_bits
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k0__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,0,8,0,0,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k0__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,0,8,1,98,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k0__r2,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,0,8,2,196,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k1__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,1,7,0,322,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k1__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,1,7,1,420,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k1__r2,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,1,7,2,518,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k2__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,2,6,0,644,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k2__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,2,6,1,742,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k2__r2,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,2,6,2,840,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k3__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,3,5,0,966,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k3__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,3,5,1,1064,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k3__r2,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,3,5,2,1162,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k4__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,4,4,0,1288,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k4__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,4,4,1,1386,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604
