pair_id,pair_key,truth_country,crop_path,crop_informativeness_label,crop_compatible_country_count,crop_compatible_countries,manual_notes,gpt_4o_choice_country,gpt_4o_reason,gpt_4o_exact_correct,gpt_4o_cache_crop_compatible,gpt_4o_auto_label,manual_gpt_4o_label,manual_gpt_4o_notes,gpt_5_4_choice_country,gpt_5_4_reason,gpt_5_4_exact_correct,gpt_5_4_cache_crop_compatible,gpt_5_4_auto_label,manual_gpt_5_4_label,manual_gpt_5_4_notes
armenia__idx065__t03_l08_h04_w06,armenia__idx065__t03_l08_h04_w06|3,Armenia,results/flag_game/visual_only_paired_crop_audit/artifacts/armenia__idx065__t03_l08_h04_w06.png,unique,1,Armenia,,Czech Republic,The flag has a red and blue horizontal stripe pattern similar to the Czech Republic's flag.,False,False,off_cache,,,Armenia,"The flag shown is a horizontal tricolor with red on top and blue in the middle, matching Armenia's red-blue-orange design.",True,True,correct,,
armenia__idx116__t06_l02_h04_w06,armenia__idx116__t06_l02_h04_w06|3,Armenia,results/flag_game/visual_only_paired_crop_audit/artifacts/armenia__idx116__t06_l02_h04_w06.png,ambiguous,10,Armenia | Chad | Estonia | France | Gabon | Netherlands | Russia | Sierra Leone | Ukraine | Czech Republic,,Ukraine,"The flag of Ukraine has a blue stripe, which matches the crop.",False,True,compatible,,,Ukraine,"The crop shows a simple horizontal bicolor with blue over yellow, which matches the flag of Ukraine.",False,True,compatible,,
armenia__idx219__t11_l10_h04_w06,armenia__idx219__t11_l10_h04_w06|3,Armenia,results/flag_game/visual_only_paired_crop_audit/artifacts/armenia__idx219__t11_l10_h04_w06.png,narrow,3,Armenia | Cote d'Ivoire | Ireland,,Cote d'Ivoire,The orange color is a prominent feature of the Cote d'Ivoire flag.,False,True,compatible,,,Cote d'Ivoire,"The crop is a solid orange vertical-band color, which matches the left stripe of Cote d'Ivoire's flag.",False,True,compatible,,
austria__idx074__t03_l17_h04_w06,austria__idx074__t03_l17_h04_w06|3,Austria,results/flag_game/visual_only_paired_crop_audit/artifacts/austria__idx074__t03_l17_h04_w06.png,moderate,6,Austria | Hungary | Luxembourg | Netherlands | Yemen | Sudan,,Peru,"The flag has two horizontal stripes, red on top and white on the bottom.",False,False,off_cache,,,Yemen,"The crop shows two horizontal bands, red over white, matching the top two stripes of Yemen's red-white-black flag.",False,True,compatible,,
austria__idx179__t09_l08_h04_w06,austria__idx179__t09_l08_h04_w06|3,Austria,results/flag_game/visual_only_paired_crop_audit/artifacts/austria__idx179__t09_l08_h04_w06.png,unique,1,Austria,,Yemen,"The flag has horizontal stripes of white and red, similar to Yemen's flag.",False,False,off_cache,,,Austria,"The crop shows a horizontal red-white-red tricolor, which matches the flag of Austria.",True,True,correct,,
austria__idx228__t12_l00_h04_w06,austria__idx228__t12_l00_h04_w06|3,Austria,results/flag_game/visual_only_paired_crop_audit/artifacts/austria__idx228__t12_l00_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Yemen,"The flag of Yemen contains a red stripe, which matches the crop shown.",False,True,compatible,,,Austria,"The crop shows a solid red horizontal band, which matches the top or bottom stripe of Austria's red-white-red flag.",True,True,correct,,
bahamas__idx025__t01_l06_h04_w06,bahamas__idx025__t01_l06_h04_w06|3,Bahamas,paper/figures/data/raw/visual_only_paired_crop_audit/artifacts/bahamas__idx025__t01_l06_h04_w06.png,unique,1,Bahamas,,Bahamas,The flag has a light blue color similar to the Bahamas flag.,True,True,correct,,,Ukraine,"The crop shows a light blue horizontal band over a lower band that appears white due to cropping/background, matching the blue-over-yellow layout of Ukraine.",False,False,off_cache,,
bahamas__idx034__t01_l15_h04_w06,bahamas__idx034__t01_l15_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx034__t01_l15_h04_w06.png,narrow,2,Luxembourg | Bahamas,,Bahamas,The light blue color is prominent in the flag of the Bahamas.,True,True,correct,,,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",False,False,off_cache,,
bahamas__idx124__t06_l10_h04_w06,bahamas__idx124__t06_l10_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx124__t06_l10_h04_w06.png,unique,1,Bahamas,,Bahamas,"The flag has a black triangle and a yellow stripe, which matches the Bahamas.",True,True,correct,,,Bahamas,"The crop shows a black triangle at the hoist against a yellow horizontal band, which matches the flag of the Bahamas.",True,True,correct,,
bahamas__idx126__t06_l12_h04_w06,bahamas__idx126__t06_l12_h04_w06|3,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx126__t06_l12_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Ukraine,"The flag of Ukraine has a yellow stripe, which matches the color seen in the crop.",False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
