run_id,N,seed,agent_id,truth,rival,rival_source,context_id,top,left,height,width,B_valid,truth_count,rival_count,outcome
N4/all_gpt_4o/seed_0001,4,1,0,Chad,Guinea,original_initialization_fallback,5ed08272e77b441adfa3,7,12,4,6,50,25,25,correct_consensus
N4/all_gpt_4o/seed_0001,4,1,1,Chad,Guinea,original_initialization_fallback,e3e135004c48dbc56715,11,7,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0001,4,1,2,Chad,Guinea,original_initialization_fallback,6cec89f2a4b2d741e46e,10,15,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0001,4,1,3,Chad,Guinea,original_initialization_fallback,dc8b7b321002bb2ff57f,10,5,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0002,4,2,0,Austria,Chad,original_initialization_fallback,acf12c7c52127dc2e75a,1,4,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0002,4,2,1,Austria,Chad,original_initialization_fallback,d9810f848f92bcba3ee5,1,2,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0002,4,2,2,Austria,Chad,original_initialization_fallback,5b1ba69284248ae14629,4,16,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0002,4,2,3,Austria,Chad,original_initialization_fallback,a12c7199e9b57712e680,11,4,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0003,4,3,0,France,Peru,final_endpoint,c89ce93933fb0d23ae26,7,18,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0003,4,3,1,France,Peru,final_endpoint,8aa3b05c2d7371f7fab0,7,6,4,6,50,50,0,polarization
N4/all_gpt_4o/seed_0003,4,3,2,France,Peru,final_endpoint,b5fe5f14348d7323d012,1,14,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0003,4,3,3,France,Peru,final_endpoint,8ec41669c6bc7b5a3af2,4,18,4,6,50,0,50,polarization
N4/all_gpt_4o/seed_0004,4,4,0,France,Chad,final_endpoint,2777e29441927b8e8037,4,1,4,6,50,48,2,wrong_consensus
N4/all_gpt_4o/seed_0004,4,4,1,France,Chad,final_endpoint,77e3a8d454f1127cf668,1,7,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0004,4,4,2,France,Chad,final_endpoint,f51c3dae3cebd6565f26,9,13,4,6,50,50,0,wrong_consensus
N4/all_gpt_4o/seed_0004,4,4,3,France,Chad,final_endpoint,22fceb3c661acde10dcb,5,6,4,6,50,48,2,wrong_consensus
N4/all_gpt_4o/seed_0005,4,5,0,Peru,France,original_initialization_fallback,335b6b32b4658f2ff4f7,3,8,4,6,50,0,50,correct_consensus
N4/all_gpt_4o/seed_0005,4,5,1,Peru,France,original_initialization_fallback,3b73e7dc137d30858813,9,18,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0005,4,5,2,Peru,France,original_initialization_fallback,f77f941326081a90c8c8,4,15,4,6,50,50,0,correct_consensus
N4/all_gpt_4o/seed_0005,4,5,3,Peru,France,original_initialization_fallback,9b8f714db35abe6ed011,10,13,4,6,50,50,0,correct_consensus
