model,m,private_evidence_strength,social_evidence_relation,target_memory_entries,social_memory_entries,n_trials,private_evidence_count,private_evidence_rate,social_evidence_count,social_evidence_rate,other_private_compatible_count,other_private_compatible_rate,other_incompatible_count,other_incompatible_rate
gpt-4o,1,weak_private_evidence,compatible,8,0,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,7,1,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,6,2,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,5,3,12,11,0.9166666666666666,1,0.08333333333333333,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,4,4,12,9,0.75,3,0.25,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,3,5,12,5,0.4166666666666667,7,0.5833333333333334,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,2,6,12,3,0.25,9,0.75,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,1,7,12,1,0.08333333333333333,11,0.9166666666666666,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,compatible,0,8,12,0,0.0,12,1.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,8,0,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,7,1,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,6,2,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,5,3,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,4,4,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,3,5,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,2,6,12,9,0.75,3,0.25,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,1,7,12,5,0.4166666666666667,7,0.5833333333333334,0,0.0,0,0.0
gpt-4o,1,weak_private_evidence,incompatible,0,8,12,0,0.0,12,1.0,0,0.0,0,0.0
gpt-4o,1,strong_private_evidence,incompatible,8,0,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,strong_private_evidence,incompatible,7,1,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,strong_private_evidence,incompatible,6,2,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,strong_private_evidence,incompatible,5,3,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,strong_private_evidence,incompatible,4,4,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,strong_private_evidence,incompatible,3,5,12,12,1.0,0,0.0,0,0.0,0,0.0
gpt-4o,1,strong_private_evidence,incompatible,2,6,12,11,0.9166666666666666,0,0.0,0,0.0,1,0.08333333333333333
gpt-4o,1,strong_private_evidence,incompatible,1,7,12,11,0.9166666666666666,1,0.08333333333333333,0,0.0,0,0.0
