model,pair_id,truth_country,crop_informativeness_label,crop_compatible_country_count,crop_compatible_countries,choice_country,reason,exact_correct,choice_crop_compatible,other_model,other_choice_country,other_choice_crop_compatible,other_reason,crop_path
gpt-5.4,bahamas__idx025__t01_l06_h04_w06,Bahamas,unique,1,Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lower band that appears white due to cropping/background, matching the blue-over-yellow layout of Ukraine.",FALSE,FALSE,gpt-4o,Bahamas,TRUE,The flag has a light blue color similar to the Bahamas flag.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx025__t01_l06_h04_w06.png
gpt-4o,bahamas__idx201__t10_l11_h04_w06,Bahamas,unique,1,Bahamas,Ukraine,The flag has horizontal stripes of blue and yellow.,FALSE,TRUE,gpt-5.4,Ukraine,FALSE,"The crop shows two horizontal bands with yellow on top and blue on the bottom, matching the flag of Ukraine.",results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png
gpt-5.4,bahamas__idx201__t10_l11_h04_w06,Bahamas,unique,1,Bahamas,Ukraine,"The crop shows two horizontal bands with yellow on top and blue on the bottom, matching the flag of Ukraine.",FALSE,TRUE,gpt-4o,Ukraine,TRUE,The flag has horizontal stripes of blue and yellow.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png
gpt-4o,bahamas__idx234__t12_l06_h04_w06,Bahamas,narrow,2,Luxembourg | Bahamas,Ukraine,The light blue color is a prominent feature of the Ukrainian flag.,FALSE,TRUE,gpt-5.4,Ukraine,FALSE,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png
gpt-5.4,bahamas__idx234__t12_l06_h04_w06,Bahamas,narrow,2,Luxembourg | Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",FALSE,FALSE,gpt-4o,Ukraine,FALSE,The light blue color is a prominent feature of the Ukrainian flag.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png
gpt-5.4,bahamas__idx241__t12_l13_h04_w06,Bahamas,narrow,2,Luxembourg | Bahamas,Ukraine,"The crop shows a light blue horizontal band, which most strongly matches the top half of Ukraine's blue-over-yellow flag.",FALSE,FALSE,gpt-4o,Bahamas,TRUE,The light blue color is prominent in the Bahamas flag.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx241__t12_l13_h04_w06.png
gpt-4o,guinea__idx087__t04_l11_h04_w06,Guinea,unique,1,Guinea,Lithuania,"The flag has a vertical green stripe next to a yellow field, similar to Lithuania's flag colors.",FALSE,TRUE,gpt-5.4,Mali,FALSE,"The crop shows vertical bands of yellow and green, matching the middle and right portions of Mali's green-yellow-red flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx087__t04_l11_h04_w06.png
gpt-5.4,guinea__idx087__t04_l11_h04_w06,Guinea,unique,1,Guinea,Mali,"The crop shows vertical bands of yellow and green, matching the middle and right portions of Mali's green-yellow-red flag.",FALSE,TRUE,gpt-4o,Lithuania,FALSE,"The flag has a vertical green stripe next to a yellow field, similar to Lithuania's flag colors.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx087__t04_l11_h04_w06.png
gpt-4o,guinea__idx125__t06_l11_h04_w06,Guinea,unique,1,Guinea,Mali,"The flag has vertical stripes of green, yellow, and red.",FALSE,TRUE,gpt-5.4,Mali,FALSE,"The crop shows vertical bands of yellow and green, which matches the middle and right portions of Mali's green-yellow-red tricolor.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx125__t06_l11_h04_w06.png
gpt-5.4,guinea__idx125__t06_l11_h04_w06,Guinea,unique,1,Guinea,Mali,"The crop shows vertical bands of yellow and green, which matches the middle and right portions of Mali's green-yellow-red tricolor.",FALSE,FALSE,gpt-4o,Mali,FALSE,"The flag has vertical stripes of green, yellow, and red.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx125__t06_l11_h04_w06.png
gpt-5.4,guinea__idx232__t12_l04_h04_w06,Guinea,unique,1,Guinea,Belgium,"The crop shows two vertical bands, black/red on the left and yellow on the right, matching Belgium's black-yellow-red vertical tricolor with the black band likely cropped out.",FALSE,FALSE,gpt-4o,Guinea,TRUE,"The flag has vertical stripes of red and yellow, matching Guinea's flag colors.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx232__t12_l04_h04_w06.png
gpt-4o,peru__idx079__t04_l03_h04_w06,Peru,unique,1,Peru,Austria,The flag has a red and white color scheme similar to Austria's flag.,FALSE,TRUE,gpt-5.4,Peru,TRUE,"The crop shows a vertical red-white-red tricolor, which matches Peru among the allowed countries.",results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx079__t04_l03_h04_w06.png
