run_id,N,outcome,truth_count,rival_count,valid_count,rival_response_share,display_N,log2_N_offset
N4/all_gpt_4o/seed_0004,4,wrong_consensus,196,4,200,0.02,3.861068099487028,-0.051000000000000004
N4/all_gpt_4o/seed_0020,4,correct_consensus,197,3,200,0.015,4.60755056939743,0.20400000000000001
N4/all_gpt_4o/seed_0024,4,correct_consensus,170,30,200,0.15,3.771138143672958,-0.085
N4/all_gpt_4o/seed_0015,4,wrong_consensus,197,3,200,0.015,4.945101043683806,0.30600000000000005
N4/all_gpt_4o/seed_0043,4,correct_consensus,200,0,200,0.0,4,0
N4/all_gpt_4o/seed_0050,4,polarization,197,3,200,0.015,3.2355253934469563,-0.30600000000000005
N4/all_gpt_4o/seed_0045,4,correct_consensus,200,0,200,0.0,3.6833027888201597,-0.11900000000000001
N4/all_gpt_4o/seed_0039,4,correct_consensus,200,0,200,0.0,4.343927425289177,0.11900000000000001
N4/all_gpt_4o/seed_0002,4,correct_consensus,200,0,200,0.0,3.391679858532591,-0.23800000000000002
N4/all_gpt_4o/seed_0049,4,wrong_consensus,173,27,200,0.135,4,0
N4/all_gpt_4o/seed_0005,4,correct_consensus,150,50,200,0.25,4,0
N4/all_gpt_4o/seed_0051,4,correct_consensus,150,50,200,0.25,3.6833027888201597,-0.11900000000000001
N4/all_gpt_4o/seed_0009,4,polarization,150,50,200,0.25,4.343927425289177,0.11900000000000001
N4/all_gpt_4o/seed_0006,4,correct_consensus,150,50,200,0.25,3.391679858532591,-0.23800000000000002
N4/all_gpt_4o/seed_0033,4,correct_consensus,150,50,200,0.25,4.717426369044864,0.23800000000000002
N4/all_gpt_4o/seed_0034,4,polarization,147,53,200,0.265,3.2355253934469563,-0.30600000000000005
N4/all_gpt_4o/seed_0001,4,correct_consensus,125,75,200,0.375,4,0
N4/all_gpt_4o/seed_0023,4,correct_consensus,109,91,200,0.455,4,0
N4/all_gpt_4o/seed_0038,4,correct_consensus,104,96,200,0.48,4,0
N4/all_gpt_4o/seed_0010,4,correct_consensus,100,100,200,0.5,3.8158382021902324,-0.068
N4/all_gpt_4o/seed_0042,4,correct_consensus,100,100,200,0.5,4.193049902067715,0.068
N4/all_gpt_4o/seed_0008,4,correct_consensus,97,103,200,0.515,3.5975132485910075,-0.15300000000000002
N4/all_gpt_4o/seed_0040,4,polarization,97,103,200,0.515,4.447516630068428,0.15300000000000002
N4/all_gpt_4o/seed_0032,4,polarization,97,103,200,0.515,3.3126826453381826,-0.272
N4/all_gpt_4o/seed_0018,4,wrong_consensus,86,114,200,0.57,4,0
N4/all_gpt_4o/seed_0027,4,correct_consensus,79,121,200,0.605,4,0
N4/all_gpt_4o/seed_0044,4,polarization,50,150,200,0.75,3.7269617172190923,-0.10200000000000001
N4/all_gpt_4o/seed_0003,4,polarization,50,150,200,0.75,4.293041145573814,0.10200000000000001
N4/all_gpt_4o/seed_0036,4,wrong_consensus,52,148,200,0.74,4,0
N4/all_gpt_4o/seed_0013,4,correct_consensus,50,150,200,0.75,3.4318821217147635,-0.22100000000000003
N4/all_gpt_4o/seed_0052,4,wrong_consensus,50,150,200,0.75,4.662164792538238,0.22100000000000003
N4/all_gpt_4o/seed_0047,4,polarization,50,150,200,0.75,3.2355253934469563,-0.30600000000000005
N4/all_gpt_4o/seed_0037,4,wrong_consensus,50,150,200,0.75,4.095387601713769,0.034
N4/all_gpt_4o/seed_0007,4,wrong_consensus,50,150,200,0.75,4.945101043683806,0.30600000000000005
N4/all_gpt_4o/seed_0041,4,wrong_consensus,41,159,200,0.795,4,0
N8/all_gpt_4o/seed_0002,8,correct_consensus,400,0,400,0.0,8,0
N8/all_gpt_4o/seed_0043,8,correct_consensus,399,1,400,0.0025,7.366605577640319,-0.11900000000000001
N8/all_gpt_4o/seed_0051,8,correct_consensus,397,3,400,0.0075,8.586082291147628,0.10200000000000001
N8/all_gpt_4o/seed_0015,8,correct_consensus,394,6,400,0.015,9.21510113879486,0.20400000000000001
N8/all_gpt_4o/seed_0039,8,correct_consensus,358,42,400,0.105,8,0
N8/all_gpt_4o/seed_0024,8,correct_consensus,263,137,400,0.3425,8.190775203427538,0.034
N8/all_gpt_4o/seed_0005,8,correct_consensus,350,50,400,0.125,7.631676404380465,-0.068
N8/all_gpt_4o/seed_0004,8,correct_consensus,345,55,400,0.1375,8.190775203427538,0.034
N8/all_gpt_4o/seed_0034,8,polarization,342,58,400,0.145,7.280310592647193,-0.136
N8/all_gpt_4o/seed_0049,8,polarization,321,79,400,0.1975,8,0
N8/all_gpt_4o/seed_0033,8,correct_consensus,300,100,400,0.25,8,0
N8/all_gpt_4o/seed_0042,8,correct_consensus,300,100,400,0.25,7.366605577640319,-0.11900000000000001
N8/all_gpt_4o/seed_0010,8,correct_consensus,300,100,400,0.25,8.687854850578354,0.11900000000000001
N8/all_gpt_4o/seed_0003,8,correct_consensus,298,102,400,0.255,6.863764243429527,-0.22100000000000003
N8/all_gpt_4o/seed_0032,8,correct_consensus,296,104,400,0.26,9.324329585076477,0.22100000000000003
N8/all_gpt_4o/seed_0009,8,polarization,292,108,400,0.27,6.471050786893913,-0.30600000000000005
N8/all_gpt_4o/seed_0027,8,correct_consensus,279,121,400,0.3025,8,0
