model,m,crop_condition,private_evidence_strength,lure_relation,social_evidence_type,false_memory_count,n_trials,valid_rate,chose_lure_rate,correct_rate,chose_other_rate,followed_memory_majority_rate,cites_memory_rate,cites_crop_rate,contradiction_awareness_rate,rationale_laundering_rate
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,0,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,1,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,2,12,1.0,0.08333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,3,12,1.0,0.25,0.6666666666666666,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,4,12,1.0,0.3333333333333333,0.6666666666666666,0.0,,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,5,12,1.0,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,6,12,1.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,7,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,8,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,0,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,1,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,2,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,3,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,4,12,1.0,0.16666666666666666,0.75,0.08333333333333333,,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,5,12,1.0,0.5,0.4166666666666667,0.08333333333333333,0.5,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,6,12,1.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,7,12,1.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,8,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,0,12,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,1,12,1.0,0.08333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,2,12,1.0,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,3,12,1.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,4,12,1.0,0.5,0.4166666666666667,0.08333333333333333,,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,5,12,1.0,0.75,0.25,0.0,0.75,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,6,12,1.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,7,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,8,12,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,0,12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,1,12,1.0,0.0,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,2,12,1.0,0.08333333333333333,0.9166666666666666,0.0,0.9166666666666666,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,3,12,1.0,0.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,4,12,1.0,0.3333333333333333,0.5833333333333334,0.08333333333333333,,0.08333333333333333,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,5,12,1.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,6,12,1.0,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,0.3333333333333333,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,7,12,1.0,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,0.16666666666666666,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,8,12,1.0,1.0,0.0,0.0,1.0,0.16666666666666666,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,0,12,1.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,1,12,1.0,0.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,2,12,1.0,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,0.08333333333333333,1.0,0.08333333333333333,0.16666666666666666
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,3,12,1.0,0.0,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.16666666666666666,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,4,12,1.0,0.0,0.9166666666666666,0.08333333333333333,,0.08333333333333333,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,5,12,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,6,12,1.0,0.0,0.75,0.25,0.0,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,7,12,1.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.25,1.0,0.08333333333333333,0.08333333333333333
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,8,12,1.0,0.5,0.25,0.25,0.5,0.3333333333333333,1.0,0.0,0.5
claude-haiku-4-5-20251001,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,0,12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,1,12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,2,12,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,3,12,1.0,0.0,1.0,0.0,1.0,0.08333333333333333,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,4,12,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0
claude-haiku-4-5-20251001,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,5,12,1.0,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,1.0,0.0,0.08333333333333333
