pair_id,model,m,backend,truth_country,choice_country,reason,valid,correct,choice_crop_compatible,error,crop_path,crop_crop_index,crop_top,crop_left,crop_height,crop_width,crop_compatible_country_count,crop_compatible_countries,crop_informativeness_bits,crop_informativeness_label,allowed_countries,country_pool,image_detail,temperature,top_p,max_tokens,seed
bahamas__idx025__t01_l06_h04_w06,gpt-4o,3,openai,Bahamas,Bahamas,The flag has a light blue color similar to the Bahamas flag.,True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx025__t01_l06_h04_w06.png,25,1,6,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Luxembourg"", ""Bahamas"", ""Gabon"", ""Netherlands"", ""Bulgaria"", ""Germany"", ""Nigeria"", ""Palestine"", ""Ireland"", ""Lithuania"", ""Armenia"", ""Sudan"", ""France"", ""Hungary"", ""Chad"", ""Mali"", ""Czech Republic"", ""Italy"", ""Guinea"", ""Yemen"", ""Estonia"", ""Peru"", ""Sierra Leone"", ""Cote d'Ivoire"", ""Ukraine"", ""Austria"", ""Belgium"", ""Russia""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,2028563810
bahamas__idx025__t01_l06_h04_w06,gpt-5.4,3,openai,Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lower band that appears white due to cropping/background, matching the blue-over-yellow layout of Ukraine.",True,False,False,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx025__t01_l06_h04_w06.png,25,1,6,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Luxembourg"", ""Bahamas"", ""Gabon"", ""Netherlands"", ""Bulgaria"", ""Germany"", ""Nigeria"", ""Palestine"", ""Ireland"", ""Lithuania"", ""Armenia"", ""Sudan"", ""France"", ""Hungary"", ""Chad"", ""Mali"", ""Czech Republic"", ""Italy"", ""Guinea"", ""Yemen"", ""Estonia"", ""Peru"", ""Sierra Leone"", ""Cote d'Ivoire"", ""Ukraine"", ""Austria"", ""Belgium"", ""Russia""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,2028563810
bahamas__idx124__t06_l10_h04_w06,gpt-4o,3,openai,Bahamas,Bahamas,"The flag has a black triangle and a yellow stripe, which matches the Bahamas.",True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx124__t06_l10_h04_w06.png,124,6,10,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Netherlands"", ""Russia"", ""France"", ""Bahamas"", ""Czech Republic"", ""Palestine"", ""Chad"", ""Guinea"", ""Estonia"", ""Bulgaria"", ""Yemen"", ""Cote d'Ivoire"", ""Ireland"", ""Ukraine"", ""Germany"", ""Austria"", ""Hungary"", ""Nigeria"", ""Lithuania"", ""Sierra Leone"", ""Mali"", ""Belgium"", ""Italy"", ""Luxembourg"", ""Sudan"", ""Peru"", ""Armenia"", ""Gabon""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,948992002
bahamas__idx124__t06_l10_h04_w06,gpt-5.4,3,openai,Bahamas,Bahamas,"The crop shows a black triangle at the hoist against a yellow horizontal band, which matches the flag of the Bahamas.",True,True,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx124__t06_l10_h04_w06.png,124,6,10,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Netherlands"", ""Russia"", ""France"", ""Bahamas"", ""Czech Republic"", ""Palestine"", ""Chad"", ""Guinea"", ""Estonia"", ""Bulgaria"", ""Yemen"", ""Cote d'Ivoire"", ""Ireland"", ""Ukraine"", ""Germany"", ""Austria"", ""Hungary"", ""Nigeria"", ""Lithuania"", ""Sierra Leone"", ""Mali"", ""Belgium"", ""Italy"", ""Luxembourg"", ""Sudan"", ""Peru"", ""Armenia"", ""Gabon""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,948992002
bahamas__idx126__t06_l12_h04_w06,gpt-4o,3,openai,Bahamas,Ukraine,"The flag of Ukraine has a yellow stripe, which matches the color seen in the crop.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx126__t06_l12_h04_w06.png,126,6,12,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Ireland"", ""Palestine"", ""Germany"", ""Sierra Leone"", ""France"", ""Gabon"", ""Belgium"", ""Sudan"", ""Ukraine"", ""Italy"", ""Bahamas"", ""Peru"", ""Czech Republic"", ""Russia"", ""Guinea"", ""Cote d'Ivoire"", ""Mali"", ""Armenia"", ""Yemen"", ""Netherlands"", ""Chad"", ""Nigeria"", ""Austria"", ""Lithuania"", ""Estonia"", ""Hungary"", ""Bulgaria"", ""Luxembourg""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,159986222
bahamas__idx126__t06_l12_h04_w06,gpt-5.4,3,openai,Bahamas,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx126__t06_l12_h04_w06.png,126,6,12,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Ireland"", ""Palestine"", ""Germany"", ""Sierra Leone"", ""France"", ""Gabon"", ""Belgium"", ""Sudan"", ""Ukraine"", ""Italy"", ""Bahamas"", ""Peru"", ""Czech Republic"", ""Russia"", ""Guinea"", ""Cote d'Ivoire"", ""Mali"", ""Armenia"", ""Yemen"", ""Netherlands"", ""Chad"", ""Nigeria"", ""Austria"", ""Lithuania"", ""Estonia"", ""Hungary"", ""Bulgaria"", ""Luxembourg""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,159986222
bahamas__idx132__t06_l18_h04_w06,gpt-4o,3,openai,Bahamas,Belgium,The flag of Belgium contains a vertical yellow stripe.,True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx132__t06_l18_h04_w06.png,132,6,18,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Sudan"", ""Belgium"", ""Guinea"", ""Lithuania"", ""Ireland"", ""Palestine"", ""Ukraine"", ""Austria"", ""Russia"", ""Sierra Leone"", ""Czech Republic"", ""Armenia"", ""Hungary"", ""France"", ""Bahamas"", ""Netherlands"", ""Peru"", ""Germany"", ""Yemen"", ""Cote d'Ivoire"", ""Bulgaria"", ""Gabon"", ""Estonia"", ""Chad"", ""Nigeria"", ""Mali"", ""Italy"", ""Luxembourg""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,686031238
bahamas__idx132__t06_l18_h04_w06,gpt-5.4,3,openai,Bahamas,Ukraine,"The crop shows a simple horizontal bicolor with yellow on the lower half and blue implied above, matching Ukraine.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx132__t06_l18_h04_w06.png,132,6,18,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Sudan"", ""Belgium"", ""Guinea"", ""Lithuania"", ""Ireland"", ""Palestine"", ""Ukraine"", ""Austria"", ""Russia"", ""Sierra Leone"", ""Czech Republic"", ""Armenia"", ""Hungary"", ""France"", ""Bahamas"", ""Netherlands"", ""Peru"", ""Germany"", ""Yemen"", ""Cote d'Ivoire"", ""Bulgaria"", ""Gabon"", ""Estonia"", ""Chad"", ""Nigeria"", ""Mali"", ""Italy"", ""Luxembourg""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,686031238
bahamas__idx152__t08_l00_h04_w06,gpt-4o,3,openai,Bahamas,Germany,"The flag has horizontal black, red, and yellow stripes.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx152__t08_l00_h04_w06.png,152,8,0,4,6,7,"[""Belgium"", ""Estonia"", ""Germany"", ""Yemen"", ""Bahamas"", ""Palestine"", ""Sudan""]",2.0,moderate,"[""Czech Republic"", ""Germany"", ""Belgium"", ""Gabon"", ""Bulgaria"", ""Sudan"", ""Peru"", ""Lithuania"", ""Ukraine"", ""Palestine"", ""Nigeria"", ""Yemen"", ""Russia"", ""Luxembourg"", ""Bahamas"", ""Sierra Leone"", ""Guinea"", ""Hungary"", ""Chad"", ""Estonia"", ""Mali"", ""Italy"", ""Austria"", ""Armenia"", ""France"", ""Cote d'Ivoire"", ""Netherlands"", ""Ireland""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,650122043
bahamas__idx152__t08_l00_h04_w06,gpt-5.4,3,openai,Bahamas,Germany,"The crop appears entirely black, which most plausibly matches the black horizontal stripe of Germany's flag among the allowed options.",True,False,True,,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx152__t08_l00_h04_w06.png,152,8,0,4,6,7,"[""Belgium"", ""Estonia"", ""Germany"", ""Yemen"", ""Bahamas"", ""Palestine"", ""Sudan""]",2.0,moderate,"[""Czech Republic"", ""Germany"", ""Belgium"", ""Gabon"", ""Bulgaria"", ""Sudan"", ""Peru"", ""Lithuania"", ""Ukraine"", ""Palestine"", ""Nigeria"", ""Yemen"", ""Russia"", ""Luxembourg"", ""Bahamas"", ""Sierra Leone"", ""Guinea"", ""Hungary"", ""Chad"", ""Estonia"", ""Mali"", ""Italy"", ""Austria"", ""Armenia"", ""France"", ""Cote d'Ivoire"", ""Netherlands"", ""Ireland""]",stripe_plus_real_triangle_28,high,0.0,1.0,220,650122043
