model,m,crop_condition,private_evidence_strength,lure_relation,social_evidence_type,first_false_memory_count_with_lure_rate_ge_0_5,max_chose_lure_rate
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,5.0,1.0
claude-haiku-4-5-20251001,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,5.0,1.0
claude-haiku-4-5-20251001,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,4.0,1.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,6.0,1.0
claude-haiku-4-5-20251001,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,8.0,0.5
claude-haiku-4-5-20251001,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,8.0,0.8181818181818182
claude-sonnet-4-6,1,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,5.0,1.0
claude-sonnet-4-6,1,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,6.0,0.9166666666666666
claude-sonnet-4-6,1,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,8.0,0.5833333333333334
claude-sonnet-4-6,3,ambiguous_true,weak_private_evidence,compatible,private_compatible_social_evidence,5.0,1.0
claude-sonnet-4-6,3,ambiguous_true,weak_private_evidence,incompatible,contradictory_social_evidence,,0.25
claude-sonnet-4-6,3,diagnostic_true,strong_private_evidence,incompatible,contradictory_social_evidence,,0.16666666666666666
