run_id,N,seed,seed_name,truth,accuracy,outcome,top_country,top_share,second_country,second_share,final_time,final_interactions_per_agent,substantial_countries,terminal_valid_count,terminal_invalid_count,stored_legacy_outcome,path
N4/all_gpt_4o/seed_0001,4,1,seed_0001,Chad,1.0,correct_consensus,Chad,1.0,Armenia,0.0,14,3.5,Chad,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0001
N4/all_gpt_4o/seed_0002,4,2,seed_0002,Austria,1.0,correct_consensus,Austria,1.0,Armenia,0.0,16,4.0,Austria,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0002
N4/all_gpt_4o/seed_0003,4,3,seed_0003,France,0.0,polarization,Peru,0.75,Guinea,0.25,80,20.0,Peru;Guinea,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0003
N4/all_gpt_4o/seed_0004,4,4,seed_0004,France,0.0,wrong_consensus,Chad,1.0,Armenia,0.0,36,9.0,Chad,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0004
N4/all_gpt_4o/seed_0005,4,5,seed_0005,Peru,1.0,correct_consensus,Peru,1.0,Armenia,0.0,12,3.0,Peru,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0005
N4/all_gpt_4o/seed_0006,4,6,seed_0006,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,8,2.0,Nigeria,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0006
N4/all_gpt_4o/seed_0007,4,7,seed_0007,Guinea,0.0,wrong_consensus,Mali,1.0,Armenia,0.0,16,4.0,Mali,4,0,wrong_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0007
N4/all_gpt_4o/seed_0008,4,8,seed_0008,France,1.0,correct_consensus,France,1.0,Armenia,0.0,22,5.5,France,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0008
N4/all_gpt_4o/seed_0009,4,9,seed_0009,Lithuania,0.75,polarization,Lithuania,0.75,Bulgaria,0.25,80,20.0,Lithuania;Bulgaria,4,0,polarization,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0009
N4/all_gpt_4o/seed_0010,4,10,seed_0010,Nigeria,1.0,correct_consensus,Nigeria,1.0,Armenia,0.0,12,3.0,Nigeria,4,0,correct_consensus,results/flag_game/proposal_core_remaining_seeds7_w6_h4_scale25_noexamples_stop5/04_model_mix_alpha_neutral/N4/all_gpt_4o/seed_0010
