pair_id,truth_country,crop_path,crop_crop_index,crop_top,crop_left,crop_height,crop_width,crop_compatible_country_count,crop_compatible_countries,crop_informativeness_bits,crop_informativeness_label,allowed_countries,seed
bahamas__idx025__t01_l06_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx025__t01_l06_h04_w06.png,25,1,6,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Luxembourg"", ""Bahamas"", ""Gabon"", ""Netherlands"", ""Bulgaria"", ""Germany"", ""Nigeria"", ""Palestine"", ""Ireland"", ""Lithuania"", ""Armenia"", ""Sudan"", ""France"", ""Hungary"", ""Chad"", ""Mali"", ""Czech Republic"", ""Italy"", ""Guinea"", ""Yemen"", ""Estonia"", ""Peru"", ""Sierra Leone"", ""Cote d'Ivoire"", ""Ukraine"", ""Austria"", ""Belgium"", ""Russia""]",2028563810
bahamas__idx124__t06_l10_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx124__t06_l10_h04_w06.png,124,6,10,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Netherlands"", ""Russia"", ""France"", ""Bahamas"", ""Czech Republic"", ""Palestine"", ""Chad"", ""Guinea"", ""Estonia"", ""Bulgaria"", ""Yemen"", ""Cote d'Ivoire"", ""Ireland"", ""Ukraine"", ""Germany"", ""Austria"", ""Hungary"", ""Nigeria"", ""Lithuania"", ""Sierra Leone"", ""Mali"", ""Belgium"", ""Italy"", ""Luxembourg"", ""Sudan"", ""Peru"", ""Armenia"", ""Gabon""]",948992002
bahamas__idx126__t06_l12_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx126__t06_l12_h04_w06.png,126,6,12,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Ireland"", ""Palestine"", ""Germany"", ""Sierra Leone"", ""France"", ""Gabon"", ""Belgium"", ""Sudan"", ""Ukraine"", ""Italy"", ""Bahamas"", ""Peru"", ""Czech Republic"", ""Russia"", ""Guinea"", ""Cote d'Ivoire"", ""Mali"", ""Armenia"", ""Yemen"", ""Netherlands"", ""Chad"", ""Nigeria"", ""Austria"", ""Lithuania"", ""Estonia"", ""Hungary"", ""Bulgaria"", ""Luxembourg""]",159986222
bahamas__idx132__t06_l18_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx132__t06_l18_h04_w06.png,132,6,18,4,6,9,"[""Belgium"", ""Chad"", ""Gabon"", ""Germany"", ""Guinea"", ""Lithuania"", ""Mali"", ""Ukraine"", ""Bahamas""]",1.6374299206152918,moderate,"[""Sudan"", ""Belgium"", ""Guinea"", ""Lithuania"", ""Ireland"", ""Palestine"", ""Ukraine"", ""Austria"", ""Russia"", ""Sierra Leone"", ""Czech Republic"", ""Armenia"", ""Hungary"", ""France"", ""Bahamas"", ""Netherlands"", ""Peru"", ""Germany"", ""Yemen"", ""Cote d'Ivoire"", ""Bulgaria"", ""Gabon"", ""Estonia"", ""Chad"", ""Nigeria"", ""Mali"", ""Italy"", ""Luxembourg""]",686031238
bahamas__idx152__t08_l00_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx152__t08_l00_h04_w06.png,152,8,0,4,6,7,"[""Belgium"", ""Estonia"", ""Germany"", ""Yemen"", ""Bahamas"", ""Palestine"", ""Sudan""]",2.0,moderate,"[""Czech Republic"", ""Germany"", ""Belgium"", ""Gabon"", ""Bulgaria"", ""Sudan"", ""Peru"", ""Lithuania"", ""Ukraine"", ""Palestine"", ""Nigeria"", ""Yemen"", ""Russia"", ""Luxembourg"", ""Bahamas"", ""Sierra Leone"", ""Guinea"", ""Hungary"", ""Chad"", ""Estonia"", ""Mali"", ""Italy"", ""Austria"", ""Armenia"", ""France"", ""Cote d'Ivoire"", ""Netherlands"", ""Ireland""]",650122043
bahamas__idx201__t10_l11_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png,201,10,11,4,6,1,"[""Bahamas""]",4.807354922057604,unique,"[""Sudan"", ""Guinea"", ""Ukraine"", ""Austria"", ""Palestine"", ""Mali"", ""Bahamas"", ""Germany"", ""Italy"", ""Sierra Leone"", ""Yemen"", ""Cote d'Ivoire"", ""Bulgaria"", ""Ireland"", ""Netherlands"", ""France"", ""Peru"", ""Czech Republic"", ""Lithuania"", ""Nigeria"", ""Gabon"", ""Estonia"", ""Hungary"", ""Armenia"", ""Luxembourg"", ""Chad"", ""Belgium"", ""Russia""]",889879896
bahamas__idx223__t11_l14_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx223__t11_l14_h04_w06.png,223,11,14,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Guinea"", ""Gabon"", ""Russia"", ""Estonia"", ""Sudan"", ""Italy"", ""Chad"", ""Sierra Leone"", ""Peru"", ""Yemen"", ""Bahamas"", ""Lithuania"", ""Bulgaria"", ""Nigeria"", ""Austria"", ""Czech Republic"", ""Palestine"", ""Cote d'Ivoire"", ""Ireland"", ""France"", ""Netherlands"", ""Germany"", ""Belgium"", ""Mali"", ""Armenia"", ""Luxembourg"", ""Hungary"", ""Ukraine""]",488408837
bahamas__idx234__t12_l06_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png,234,12,6,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Austria"", ""Luxembourg"", ""France"", ""Armenia"", ""Bahamas"", ""Palestine"", ""Sierra Leone"", ""Ireland"", ""Netherlands"", ""Germany"", ""Ukraine"", ""Peru"", ""Hungary"", ""Czech Republic"", ""Gabon"", ""Mali"", ""Italy"", ""Chad"", ""Bulgaria"", ""Sudan"", ""Russia"", ""Estonia"", ""Belgium"", ""Yemen"", ""Lithuania"", ""Nigeria"", ""Cote d'Ivoire"", ""Guinea""]",1007628398
bahamas__idx241__t12_l13_h04_w06,Bahamas,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx241__t12_l13_h04_w06.png,241,12,13,4,6,2,"[""Luxembourg"", ""Bahamas""]",3.807354922057604,narrow,"[""Italy"", ""Netherlands"", ""Lithuania"", ""Estonia"", ""Palestine"", ""Armenia"", ""Cote d'Ivoire"", ""Mali"", ""Bulgaria"", ""Russia"", ""Belgium"", ""Yemen"", ""Sierra Leone"", ""Ireland"", ""Czech Republic"", ""Ukraine"", ""Germany"", ""Luxembourg"", ""Bahamas"", ""Austria"", ""Sudan"", ""Hungary"", ""Guinea"", ""France"", ""Nigeria"", ""Gabon"", ""Chad"", ""Peru""]",563489043
czech_republic__idx007__t00_l07_h04_w06,Czech Republic,results/flag_game/visual_only_paired_crop_audit/artifacts/czech_republic__idx007__t00_l07_h04_w06.png,7,0,7,4,6,18,"[""Austria"", ""Bulgaria"", ""Cote d'Ivoire"", ""Estonia"", ""France"", ""Hungary"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Nigeria"", ""Peru"", ""Russia"", ""Sierra Leone"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",0.6374299206152918,ambiguous,"[""Czech Republic"", ""Netherlands"", ""Palestine"", ""Austria"", ""Sierra Leone"", ""Peru"", ""Russia"", ""Ukraine"", ""Hungary"", ""Italy"", ""Belgium"", ""Sudan"", ""Ireland"", ""Guinea"", ""Bahamas"", ""Nigeria"", ""Chad"", ""France"", ""Bulgaria"", ""Mali"", ""Germany"", ""Gabon"", ""Lithuania"", ""Cote d'Ivoire"", ""Armenia"", ""Estonia"", ""Luxembourg"", ""Yemen""]",1432237921
