trial_id,model,m,private_evidence_strength,lure_relation,false_memory_count,truth_country,lure_country,choice_country,response_type_label,alignment_type_label,choice_crop_compatible,choice_social_feature_compatible,crop_compatible_country_count,crop_compatible_countries,reason,memory_lines
claude-haiku-4-5-20251001__m1__czechrepublic__ambiguous_true__compatible__sudan__k3__r2,claude-haiku-4-5-20251001,1,weak_private_evidence,compatible,3,Czech Republic,Sudan,Peru,Other crop-compatible country,Other: private compatible,True,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",,"[""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Sudan"", ""Sudan"", ""Czech Republic"", ""Sudan""]"
claude-haiku-4-5-20251001__m1__czechrepublic__ambiguous_true__incompatible__nigeria__k5__r0,claude-haiku-4-5-20251001,1,weak_private_evidence,incompatible,5,Czech Republic,Nigeria,Peru,Other crop-compatible country,Other: private compatible,True,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",,"[""Czech Republic"", ""Nigeria"", ""Nigeria"", ""Nigeria"", ""Nigeria"", ""Nigeria"", ""Czech Republic"", ""Czech Republic""]"
claude-haiku-4-5-20251001__m1__guinea__diagnostic_true__incompatible__gabon__k4__r1,claude-haiku-4-5-20251001,1,strong_private_evidence,incompatible,4,Guinea,Gabon,Mali,Unsupported other,Other: incompatible,False,False,1,"[""Guinea""]",,"[""Gabon"", ""Guinea"", ""Guinea"", ""Gabon"", ""Gabon"", ""Guinea"", ""Guinea"", ""Gabon""]"
claude-haiku-4-5-20251001__m1__guinea__ambiguous_true__incompatible__cotedivoire__k4__r1,claude-haiku-4-5-20251001,1,weak_private_evidence,incompatible,4,Guinea,Cote d'Ivoire,Bahamas,Unsupported other,Other: incompatible,False,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]",,"[""Cote d'Ivoire"", ""Cote d'Ivoire"", ""Guinea"", ""Cote d'Ivoire"", ""Guinea"", ""Cote d'Ivoire"", ""Guinea"", ""Guinea""]"
claude-haiku-4-5-20251001__m3__czechrepublic__ambiguous_true__compatible__sudan__k1__r0,claude-haiku-4-5-20251001,3,weak_private_evidence,compatible,1,Czech Republic,Sudan,Peru,Other crop-compatible country,Other: private compatible,True,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]","The solid red field visible in the crop is consistent with Peru's flag, which features a vertical tricolor of red-white-red with the red bands being prominent.","[""Czech Republic | The visible crop is most consistent with a blue hoist triangle with horizontal white-red bands."", ""Czech Republic | Czech Republic fits the visible colors and geometry best."", ""Czech Republic | The crop evidence points toward Czech Republic."", ""Czech Republic | Czech Republic fits the visible colors and geometry best."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands."", ""Czech Republic | The visible crop is most consistent with a blue hoist triangle with horizontal white-red bands."", ""Czech Republic | I would choose Czech Republic; the crop supports a blue hoist triangle with horizontal white-red bands."", ""Czech Republic | I would choose Czech Republic; the crop supports a blue hoist triangle with horizontal white-red bands.""]"
claude-haiku-4-5-20251001__m3__czechrepublic__ambiguous_true__compatible__sudan__k4__r1,claude-haiku-4-5-20251001,3,weak_private_evidence,compatible,4,Czech Republic,Sudan,Peru,Other crop-compatible country,Other: private compatible,True,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]","The solid red color visible in the crop is consistent with Peru's flag, which features a vertical tricolor of red-white-red with the red bands being prominent.","[""Sudan | I would choose Sudan; the visible colors fit a green hoist triangle with horizontal red-white-black bands."", ""Czech Republic | I would choose Czech Republic; the crop supports a blue hoist triangle with horizontal white-red bands."", ""Czech Republic | The crop evidence points toward Czech Republic."", ""Sudan | Sudan seems like the best match from the crop."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands."", ""Czech Republic | Czech Republic fits the visible colors and geometry best."", ""Czech Republic | The visible crop is most consistent with a blue hoist triangle with horizontal white-red bands."", ""Sudan | The crop evidence points toward Sudan.""]"
claude-haiku-4-5-20251001__m3__czechrepublic__ambiguous_true__compatible__sudan__k5__r0,claude-haiku-4-5-20251001,3,weak_private_evidence,compatible,5,Czech Republic,Sudan,Austria,Other crop-compatible country,Other: private + social compatible,True,True,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]","The solid red color visible in the crop matches Austria's flag, which is a simple horizontal tricolor of red-white-red.","[""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands."", ""Sudan | The crop evidence points toward Sudan."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands."", ""Czech Republic | The visible crop is most consistent with a blue hoist triangle with horizontal white-red bands."", ""Czech Republic | I would choose Czech Republic; the crop supports a blue hoist triangle with horizontal white-red bands."", ""Czech Republic | Czech Republic fits the visible colors and geometry best."", ""Sudan | Sudan seems like the best match from the crop."", ""Sudan | I would choose Sudan; the visible colors fit a green hoist triangle with horizontal red-white-black bands.""]"
claude-haiku-4-5-20251001__m3__czechrepublic__ambiguous_true__compatible__sudan__k5__r2,claude-haiku-4-5-20251001,3,weak_private_evidence,compatible,5,Czech Republic,Sudan,Peru,Other crop-compatible country,Other: private compatible,True,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]","The solid red color visible in the crop matches Peru's flag, which features a vertical tricolor of red-white-red with the red bands being prominent.","[""Czech Republic | Czech Republic fits the visible colors and geometry best."", ""Czech Republic | The visible crop is most consistent with a blue hoist triangle with horizontal white-red bands."", ""Czech Republic | I would choose Czech Republic; the crop supports a blue hoist triangle with horizontal white-red bands."", ""Sudan | The crop evidence points toward Sudan."", ""Sudan | Sudan seems like the best match from the crop."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands."", ""Sudan | I would choose Sudan; the visible colors fit a green hoist triangle with horizontal red-white-black bands."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands.""]"
claude-haiku-4-5-20251001__m3__czechrepublic__ambiguous_true__compatible__sudan__k6__r1,claude-haiku-4-5-20251001,3,weak_private_evidence,compatible,6,Czech Republic,Sudan,Peru,Other crop-compatible country,Other: private compatible,True,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]","The solid red color visible in the crop is consistent with Peru's flag, which features a vertical tricolor of red-white-red with the red bands being prominent.","[""Sudan | I would choose Sudan; the visible colors fit a green hoist triangle with horizontal red-white-black bands."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands."", ""Czech Republic | I would choose Czech Republic; the crop supports a blue hoist triangle with horizontal white-red bands."", ""Sudan | Sudan seems like the best match from the crop."", ""Sudan | I would choose Sudan; the visible colors fit a green hoist triangle with horizontal red-white-black bands."", ""Czech Republic | The visible crop is most consistent with a blue hoist triangle with horizontal white-red bands."", ""Sudan | The crop evidence points toward Sudan."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands.""]"
claude-haiku-4-5-20251001__m3__czechrepublic__ambiguous_true__compatible__sudan__k7__r0,claude-haiku-4-5-20251001,3,weak_private_evidence,compatible,7,Czech Republic,Sudan,Peru,Other crop-compatible country,Other: private compatible,True,False,20,"[""Armenia"", ""Austria"", ""Belgium"", ""Bulgaria"", ""Chad"", ""France"", ""Germany"", ""Guinea"", ""Hungary"", ""Italy"", ""Lithuania"", ""Luxembourg"", ""Mali"", ""Netherlands"", ""Peru"", ""Russia"", ""Yemen"", ""Czech Republic"", ""Palestine"", ""Sudan""]","The solid red color visible in the crop is consistent with Peru's flag, which features a vertical tricolor of red-white-red with the red bands being prominent.","[""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands."", ""Sudan | I would choose Sudan; the visible colors fit a green hoist triangle with horizontal red-white-black bands."", ""Sudan | The crop evidence points toward Sudan."", ""Czech Republic | The visible crop is most consistent with a blue hoist triangle with horizontal white-red bands."", ""Sudan | Sudan seems like the best match from the crop."", ""Sudan | I would choose Sudan; the visible colors fit a green hoist triangle with horizontal red-white-black bands."", ""Sudan | Sudan seems like the best match from the crop."", ""Sudan | This looks like Sudan because it matches a green hoist triangle with horizontal red-white-black bands.""]"
