agent_id,left,top,width,height,center_x,center_y,truth_count,rival_count,B_valid,rival_response_share
0,4,9,6,4,7.0,11.0,50,0,50,0.0
1,11,10,6,4,14.0,12.0,39,11,50,0.22
2,6,10,6,4,9.0,12.0,40,10,50,0.2
3,16,11,6,4,19.0,13.0,30,20,50,0.4
4,3,12,6,4,6.0,14.0,26,24,50,0.48
5,0,2,6,4,3.0,4.0,0,50,50,1.0
6,9,3,6,4,12.0,5.0,0,50,50,1.0
7,1,9,6,4,4.0,11.0,50,0,50,0.0
8,10,8,6,4,13.0,10.0,50,0,50,0.0
9,8,11,6,4,11.0,13.0,25,25,50,0.5
10,14,12,6,4,17.0,14.0,30,20,50,0.4
11,6,1,6,4,9.0,3.0,0,50,50,1.0
12,14,11,6,4,17.0,13.0,27,23,50,0.46
13,7,4,6,4,10.0,6.0,0,50,50,1.0
14,13,7,6,4,16.0,9.0,34,16,50,0.32
15,8,12,6,4,11.0,14.0,28,22,50,0.44
16,5,2,6,4,8.0,4.0,0,50,50,1.0
17,6,0,6,4,9.0,2.0,0,50,50,1.0
18,10,5,6,4,13.0,7.0,1,49,50,0.98
19,9,5,6,4,12.0,7.0,0,50,50,1.0
20,0,1,6,4,3.0,3.0,0,50,50,1.0
21,7,1,6,4,10.0,3.0,0,50,50,1.0
22,13,1,6,4,16.0,3.0,0,50,50,1.0
23,5,4,6,4,8.0,6.0,0,50,50,1.0
24,7,6,6,4,10.0,8.0,0,50,50,1.0
25,15,7,6,4,18.0,9.0,35,15,50,0.3
26,1,6,6,4,4.0,8.0,0,50,50,1.0
27,0,12,6,4,3.0,14.0,28,22,50,0.44
28,15,2,6,4,18.0,4.0,0,50,50,1.0
29,13,2,6,4,16.0,4.0,0,50,50,1.0
30,6,12,6,4,9.0,14.0,22,28,50,0.56
31,8,8,6,4,11.0,10.0,50,0,50,0.0
32,3,9,6,4,6.0,11.0,50,0,50,0.0
33,9,4,6,4,12.0,6.0,0,50,50,1.0
34,8,4,6,4,11.0,6.0,0,50,50,1.0
35,14,5,6,4,17.0,7.0,0,50,50,1.0
36,4,1,6,4,7.0,3.0,0,50,50,1.0
37,6,11,6,4,9.0,13.0,29,21,50,0.42
38,18,6,6,4,21.0,8.0,0,50,50,1.0
39,16,10,6,4,19.0,12.0,43,7,50,0.14
40,11,6,6,4,14.0,8.0,2,48,50,0.96
41,8,5,6,4,11.0,7.0,0,50,50,1.0
42,1,1,6,4,4.0,3.0,0,50,50,1.0
43,14,2,6,4,17.0,4.0,0,50,50,1.0
44,4,12,6,4,7.0,14.0,28,22,50,0.44
45,5,3,6,4,8.0,5.0,0,50,50,1.0
46,8,0,6,4,11.0,2.0,0,50,50,1.0
47,9,12,6,4,12.0,14.0,25,25,50,0.5
48,5,1,6,4,8.0,3.0,0,50,50,1.0
49,2,1,6,4,5.0,3.0,0,50,50,1.0
50,10,2,6,4,13.0,4.0,0,50,50,1.0
51,7,3,6,4,10.0,5.0,0,50,50,1.0
52,6,9,6,4,9.0,11.0,50,0,50,0.0
53,15,3,6,4,18.0,5.0,0,50,50,1.0
54,2,4,6,4,5.0,6.0,0,50,50,1.0
55,5,9,6,4,8.0,11.0,50,0,50,0.0
56,8,3,6,4,11.0,5.0,0,50,50,1.0
57,3,2,6,4,6.0,4.0,0,50,50,1.0
58,7,8,6,4,10.0,10.0,50,0,50,0.0
59,11,1,6,4,14.0,3.0,0,50,50,1.0
60,5,0,6,4,8.0,2.0,0,50,50,1.0
61,11,3,6,4,14.0,5.0,1,49,50,0.98
62,9,9,6,4,12.0,11.0,50,0,50,0.0
63,2,3,6,4,5.0,5.0,0,50,50,1.0
64,18,2,6,4,21.0,4.0,0,50,50,1.0
65,12,10,6,4,15.0,12.0,41,9,50,0.18
66,3,3,6,4,6.0,5.0,0,50,50,1.0
67,14,0,6,4,17.0,2.0,0,50,50,1.0
68,3,0,6,4,6.0,2.0,0,50,50,1.0
69,13,8,6,4,16.0,10.0,50,0,50,0.0
70,6,8,6,4,9.0,10.0,50,0,50,0.0
71,0,4,6,4,3.0,6.0,0,50,50,1.0
72,14,3,6,4,17.0,5.0,0,50,50,1.0
73,16,1,6,4,19.0,3.0,0,50,50,1.0
74,4,10,6,4,7.0,12.0,37,13,50,0.26
75,4,11,6,4,7.0,13.0,30,20,50,0.4
76,1,8,6,4,4.0,10.0,50,0,50,0.0
77,0,6,6,4,3.0,8.0,1,49,50,0.98
78,1,2,6,4,4.0,4.0,0,50,50,1.0
79,11,8,6,4,14.0,10.0,50,0,50,0.0
80,13,3,6,4,16.0,5.0,0,50,50,1.0
81,9,7,6,4,12.0,9.0,38,12,50,0.24
