trial_id,model,m,truth_country,lure_country,lure_relation,crop_condition,false_memory_count,true_memory_count,false_majority,true_majority,memory_tie,rep,seed,valid,choice_country,reason,correct,chose_lure,chose_truth,chose_other,followed_memory_majority,error,crop_crop_index,crop_top,crop_left,crop_height,crop_width,crop_compatible_country_count,crop_compatible_countries,crop_informativeness_bits,crop_informativeness_label,memory_lines,allowed_countries,cites_memory,cites_crop,contradiction_awareness,rationale_laundering,private_evidence_strength,social_evidence_type,choice_crop_compatible,choice_social_feature_compatible,response_type,response_type_label,alignment_type,alignment_type_label
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k0__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,0,8,False,True,False,0,0,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic""]","[""Bulgaria"", ""Lithuania"", ""Guinea"", ""Netherlands"", ""Cote d'Ivoire"", ""Armenia"", ""France"", ""Sierra Leone"", ""Peru"", ""Nigeria"", ""Yemen"", ""Czech Republic"", ""Chad"", ""Belgium"", ""Ukraine"", ""Estonia"", ""Hungary"", ""Russia"", ""Germany"", ""Palestine"", ""Luxembourg"", ""Mali"", ""Gabon"", ""Austria"", ""Italy"", ""Bahamas"", ""Ireland"", ""Sudan""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k0__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,0,8,False,True,False,1,98,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic""]","[""Bulgaria"", ""Ukraine"", ""Chad"", ""Gabon"", ""Yemen"", ""Palestine"", ""France"", ""Mali"", ""Russia"", ""Lithuania"", ""Cote d'Ivoire"", ""Bahamas"", ""Peru"", ""Guinea"", ""Armenia"", ""Ireland"", ""Estonia"", ""Sierra Leone"", ""Belgium"", ""Netherlands"", ""Germany"", ""Luxembourg"", ""Czech Republic"", ""Italy"", ""Sudan"", ""Austria"", ""Nigeria"", ""Hungary""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k0__r2,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,0,8,False,True,False,2,196,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic""]","[""Sierra Leone"", ""Bahamas"", ""Ireland"", ""France"", ""Yemen"", ""Bulgaria"", ""Hungary"", ""Cote d'Ivoire"", ""Peru"", ""Lithuania"", ""Palestine"", ""Luxembourg"", ""Nigeria"", ""Austria"", ""Netherlands"", ""Gabon"", ""Chad"", ""Germany"", ""Belgium"", ""Guinea"", ""Italy"", ""Estonia"", ""Armenia"", ""Czech Republic"", ""Sudan"", ""Ukraine"", ""Mali"", ""Russia""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k1__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,1,7,False,True,False,0,322,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Sudan"", ""Czech Republic""]","[""Netherlands"", ""Armenia"", ""Estonia"", ""Palestine"", ""Ireland"", ""Sierra Leone"", ""Austria"", ""Luxembourg"", ""Mali"", ""Lithuania"", ""Bulgaria"", ""Czech Republic"", ""Hungary"", ""Gabon"", ""Peru"", ""Cote d'Ivoire"", ""Russia"", ""Yemen"", ""Nigeria"", ""Guinea"", ""Germany"", ""France"", ""Belgium"", ""Chad"", ""Italy"", ""Bahamas"", ""Ukraine"", ""Sudan""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k1__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,1,7,False,True,False,1,420,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Sudan"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic""]","[""Russia"", ""Netherlands"", ""France"", ""Austria"", ""Italy"", ""Bahamas"", ""Nigeria"", ""Chad"", ""Estonia"", ""Cote d'Ivoire"", ""Yemen"", ""Belgium"", ""Germany"", ""Lithuania"", ""Ukraine"", ""Peru"", ""Luxembourg"", ""Guinea"", ""Mali"", ""Sudan"", ""Palestine"", ""Bulgaria"", ""Ireland"", ""Gabon"", ""Hungary"", ""Czech Republic"", ""Sierra Leone"", ""Armenia""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k1__r2,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,1,7,False,True,False,2,518,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Sudan"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic""]","[""Guinea"", ""Peru"", ""Estonia"", ""Italy"", ""Chad"", ""Sierra Leone"", ""Russia"", ""Ukraine"", ""Bahamas"", ""Ireland"", ""Belgium"", ""Bulgaria"", ""Cote d'Ivoire"", ""Austria"", ""Germany"", ""Netherlands"", ""Armenia"", ""Lithuania"", ""France"", ""Luxembourg"", ""Czech Republic"", ""Yemen"", ""Nigeria"", ""Gabon"", ""Sudan"", ""Mali"", ""Hungary"", ""Palestine""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k2__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,2,6,False,True,False,0,644,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Sudan"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Sudan""]","[""Chad"", ""Armenia"", ""Bahamas"", ""Germany"", ""Ukraine"", ""Czech Republic"", ""Belgium"", ""Mali"", ""Sierra Leone"", ""Yemen"", ""Sudan"", ""Palestine"", ""Ireland"", ""France"", ""Gabon"", ""Hungary"", ""Austria"", ""Estonia"", ""Cote d'Ivoire"", ""Russia"", ""Netherlands"", ""Nigeria"", ""Lithuania"", ""Peru"", ""Bulgaria"", ""Italy"", ""Guinea"", ""Luxembourg""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k2__r1,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,2,6,False,True,False,1,742,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Czech Republic"", ""Czech Republic"", ""Sudan"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Sudan"", ""Czech Republic""]","[""Lithuania"", ""France"", ""Armenia"", ""Estonia"", ""Mali"", ""Netherlands"", ""Ireland"", ""Czech Republic"", ""Luxembourg"", ""Sierra Leone"", ""Palestine"", ""Yemen"", ""Hungary"", ""Bahamas"", ""Guinea"", ""Belgium"", ""Ukraine"", ""Gabon"", ""Cote d'Ivoire"", ""Sudan"", ""Austria"", ""Russia"", ""Peru"", ""Bulgaria"", ""Nigeria"", ""Chad"", ""Germany"", ""Italy""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k2__r2,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,2,6,False,True,False,2,840,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Sudan"", ""Sudan"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic""]","[""Nigeria"", ""Ukraine"", ""Germany"", ""Peru"", ""Guinea"", ""Sierra Leone"", ""Chad"", ""Sudan"", ""Belgium"", ""Cote d'Ivoire"", ""Palestine"", ""Russia"", ""Armenia"", ""Austria"", ""Bahamas"", ""Gabon"", ""Luxembourg"", ""Ireland"", ""Mali"", ""Bulgaria"", ""France"", ""Hungary"", ""Yemen"", ""Czech Republic"", ""Netherlands"", ""Lithuania"", ""Italy"", ""Estonia""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
gpt-4o__m1__czechrepublic__diagnostic_true__incompatible__sudan__k3__r0,gpt-4o,1,Czech Republic,Sudan,incompatible,diagnostic_true,3,5,False,True,False,0,966,True,Czech Republic,,True,False,True,False,1.0,,100,5,5,4,6,1,"[""Czech Republic""]",4.807354922057604,unique,"[""Sudan"", ""Czech Republic"", ""Sudan"", ""Czech Republic"", ""Sudan"", ""Czech Republic"", ""Czech Republic"", ""Czech Republic""]","[""Gabon"", ""Peru"", ""Bulgaria"", ""Hungary"", ""France"", ""Czech Republic"", ""Netherlands"", ""Bahamas"", ""Cote d'Ivoire"", ""Russia"", ""Armenia"", ""Estonia"", ""Yemen"", ""Italy"", ""Chad"", ""Belgium"", ""Mali"", ""Sudan"", ""Germany"", ""Ukraine"", ""Ireland"", ""Lithuania"", ""Palestine"", ""Luxembourg"", ""Nigeria"", ""Sierra Leone"", ""Guinea"", ""Austria""]",False,False,False,False,strong_private_evidence,contradictory_social_evidence,True,True,private_evidence,Private target country,private_evidence,Private target country
