alpha,gpt54_count,n_trials,initial_accuracy_mean,final_accuracy_mean,final_vote_accuracy_rate,social_lift_mean,success85_rate,correct_consensus_rate,wrong_consensus_rate,oracle_gap_mean,changed_mind_fraction_mean,influential_gpt54_fraction_mean,influential_gpt4o_fraction_mean,influential_gpt54_excess_over_composition,oracle_accuracy_mean
0.0,0,10,0.4125,0.55,0.8,0.1375,0.2,0.1,0.0,0.45,0.09833333333333334,0.0,1.0,0.0,1.0
0.0,1,10,0.3892857142857143,0.525,0.7,0.13571428571428573,0.2,0.1,0.0,0.475,0.11446428571428571,0.2037037037037037,0.7962962962962963,0.07870370370370369,1.0
0.0,2,10,0.44642857142857145,0.6125,0.9,0.1660714285714286,0.3,0.0,0.0,0.3875,0.08946428571428572,0.32341269841269843,0.6765873015873015,0.07341269841269843,1.0
0.0,3,10,0.4375,0.525,0.7,0.0875,0.1,0.0,0.0,0.475,0.08125,0.4801587301587302,0.5198412698412699,0.10515873015873017,1.0
0.0,4,10,0.4375,0.55,0.6,0.1125,0.2,0.0,0.0,0.45,0.08375,0.7619047619047619,0.23809523809523808,0.26190476190476186,1.0
0.0,5,10,0.4303571428571429,0.6,0.8,0.16964285714285715,0.2,0.0,0.0,0.4,0.08553571428571428,0.8412698412698412,0.15873015873015875,0.21626984126984117,1.0
0.0,6,10,0.4625,0.55,0.7,0.0875,0.2,0.0,0.0,0.45,0.051250000000000004,0.8833333333333334,0.11666666666666665,0.13333333333333341,1.0
0.0,7,10,0.425,0.45,0.7,0.025,0.0,0.0,0.0,0.55,0.04375,1.0,0.0,0.125,1.0
0.0,8,10,0.45,0.525,0.7,0.075,0.1,0.1,0.0,0.475,0.042499999999999996,nan,nan,nan,1.0
0.25,0,10,0.37142857142857144,0.6375,0.6,0.26607142857142857,0.4,0.3,0.0,0.3625,0.17848214285714287,0.0,1.0,0.0,1.0
0.25,1,10,0.36607142857142855,0.6875,0.8,0.32142857142857145,0.4,0.3,0.0,0.3125,0.18232142857142858,0.18211716908363776,0.8178828309163622,0.05711716908363776,1.0
0.25,2,10,0.40714285714285714,0.675,0.8,0.2678571428571429,0.4,0.3,0.0,0.325,0.17196428571428574,0.4043233779627221,0.5956766220372778,0.1543233779627221,1.0
0.25,3,10,0.4446428571428571,0.7375,0.8,0.29285714285714287,0.6,0.3,0.0,0.2625,0.16011904761904763,0.6696741906271522,0.3303258093728477,0.29467419062715217,1.0
0.25,4,10,0.4946428571428571,0.6875,0.7,0.19285714285714287,0.4,0.3,0.0,0.3125,0.12767857142857142,0.770503602087053,0.22949639791294701,0.27050360208705304,1.0
0.25,5,10,0.4125,0.6875,0.7,0.275,0.5,0.4,0.0,0.3125,0.16333333333333333,0.8590381335282651,0.1409618664717349,0.23403813352826508,1.0
0.25,6,10,0.425,0.575,0.6,0.15,0.4,0.3,0.0,0.425,0.12166666666666666,0.8702540206689904,0.1297459793310096,0.12025402066899038,1.0
0.25,7,10,0.475,0.7,0.8,0.225,0.5,0.3,0.0,0.3,0.12583333333333332,0.987361111111111,0.012638888888888889,0.11236111111111102,1.0
0.25,8,10,0.4125,0.6625,0.7,0.25,0.5,0.4,0.0,0.3375,0.13472222222222224,1.0,0.0,0.0,1.0
0.5,0,10,0.4125,0.7875,0.9,0.375,0.6,0.5,0.0,0.2125,0.19708333333333333,0.0,1.0,0.0,1.0
0.5,1,10,0.3571428571428571,0.6625,0.7,0.3053571428571429,0.3,0.3,0.0,0.3375,0.19095238095238096,0.19067472298071497,0.8093252770192849,0.06567472298071497,1.0
0.5,2,10,0.45714285714285713,0.8,0.9,0.34285714285714286,0.7,0.4,0.0,0.2,0.17032738095238095,0.4626936407474382,0.5373063592525618,0.21269364074743818,1.0
0.5,3,10,0.4321428571428571,0.8125,0.8,0.3803571428571429,0.7,0.3,0.0,0.1875,0.22011904761904763,0.6603878793336584,0.3396121206663415,0.2853878793336584,1.0
0.5,4,10,0.48035714285714287,0.8125,0.8,0.3321428571428572,0.8,0.5,0.0,0.1875,0.16354166666666667,0.81394410238442,0.18605589761557986,0.31394410238442005,1.0
0.5,5,10,0.4035714285714286,0.5875,0.6,0.18392857142857144,0.5,0.4,0.1,0.4125,0.20482142857142857,0.8952498704347296,0.10475012956527041,0.2702498704347296,1.0
0.5,6,10,0.4,0.775,0.8,0.375,0.8,0.6,0.1,0.225,0.2325,0.9231977722523608,0.07680222774763913,0.17319777225236077,1.0
0.5,7,10,0.4625,0.6875,0.7,0.225,0.7,0.6,0.3,0.3125,0.19166666666666668,0.9790494465329992,0.020950553467000834,0.10404944653299919,1.0
0.5,8,10,0.3875,0.6,0.6,0.2125,0.6,0.6,0.3,0.4,0.24217261904761905,1.0,0.0,0.0,1.0
0.75,0,10,0.4125,0.775,0.8,0.3625,0.6,0.4,0.0,0.225,0.22041666666666665,0.0,1.0,0.0,1.0
0.75,1,10,0.3678571428571428,0.825,0.9,0.45714285714285713,0.7,0.4,0.0,0.175,0.26217261904761907,0.21160572881891376,0.7883942711810862,0.08660572881891376,1.0
0.75,2,10,0.375,0.6875,0.7,0.3125,0.4,0.3,0.0,0.3125,0.26357142857142857,0.4235021434213822,0.5764978565786179,0.1735021434213822,1.0
0.75,3,10,0.41785714285714287,0.7625,0.8,0.34464285714285714,0.8,0.4,0.0,0.2375,0.24500000000000002,0.6755791793505834,0.3244208206494165,0.3005791793505834,1.0
0.75,4,10,0.4625,0.8875,0.9,0.425,0.9,0.8,0.0,0.1125,0.2722916666666667,0.827124775985663,0.17287522401433691,0.32712477598566303,1.0
0.75,5,10,0.45,0.875,0.9,0.425,0.9,0.7,0.0,0.125,0.22999999999999998,0.9123836336336337,0.08761636636636636,0.28738363363363373,1.0
0.75,6,10,0.4375,0.8875,0.9,0.45,0.9,0.8,0.0,0.1125,0.25395833333333334,0.9364236111111112,0.06357638888888888,0.18642361111111116,1.0
0.75,7,10,0.4375,0.7,0.7,0.2625,0.7,0.7,0.2,0.3,0.2748363095238095,0.9795634920634921,0.020436507936507937,0.10456349206349214,1.0
0.75,8,10,0.45,0.8,0.8,0.35,0.8,0.8,0.2,0.2,0.284375,1.0,0.0,0.0,1.0
1.0,0,35,0.325,0.55,0.5714285714285714,0.225,0.4,0.37142857142857144,0.02857142857142857,0.42142857142857143,0.18448979591836734,0.0,1.0,0.0,0.9714285714285714
1.0,1,35,0.31326530612244896,0.525,0.5142857142857142,0.211734693877551,0.3142857142857143,0.2857142857142857,0.02857142857142857,0.44642857142857145,0.22215136054421766,0.1962176508479038,0.8037823491520962,0.0712176508479038,0.9714285714285714
1.0,2,35,0.3423469387755102,0.575,0.6,0.23265306122448978,0.42857142857142855,0.37142857142857144,0.02857142857142857,0.3964285714285714,0.20537414965986395,0.38113857734461654,0.6188614226553835,0.13113857734461654,0.9714285714285714
1.0,3,35,0.37142857142857144,0.6571428571428571,0.6571428571428571,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.0,0.3142857142857143,0.21304138321995464,0.6178736905587515,0.3821263094412485,0.24287369055875152,0.9714285714285714
1.0,4,35,0.39183673469387753,0.7035714285714286,0.7142857142857143,0.31173469387755104,0.6571428571428571,0.5428571428571428,0.05714285714285714,0.26785714285714285,0.2432142857142857,0.7795980869783633,0.22040191302163667,0.2795980869783633,0.9714285714285714
1.0,5,35,0.35153061224489796,0.6928571428571428,0.7142857142857143,0.3413265306122449,0.6571428571428571,0.5428571428571428,0.11428571428571428,0.2785714285714286,0.25232568027210883,0.9048028009787842,0.0951971990212158,0.2798028009787842,0.9714285714285714
1.0,6,35,0.3464285714285714,0.6964285714285714,0.6857142857142857,0.35,0.6857142857142857,0.5714285714285714,0.11428571428571428,0.275,0.25520408163265307,0.9421632157538578,0.05783678424614228,0.19216321575385775,0.9714285714285714
1.0,7,35,0.375,0.7035714285714286,0.6857142857142857,0.32857142857142857,0.6857142857142857,0.6857142857142857,0.2,0.26785714285714285,0.2782242063492063,0.9774590616837452,0.022540938316254772,0.10245906168374519,0.9714285714285714
1.0,8,35,0.37142857142857144,0.6357142857142857,0.6285714285714286,0.2642857142857143,0.6285714285714286,0.6285714285714286,0.3142857142857143,0.3357142857142857,0.28869047619047616,1.0,0.0,0.0,0.9714285714285714
