run_id,N,truth,rival,rival_response_share,a_T,a_R,mean_truth_share,prob_correct_consensus,prob_wrong_consensus,prob_polarization,observed_endpoint_accuracy,observed_outcome,truth_count,rival_count,valid_count
N4/all_gpt_4o/seed_0002,4,Austria,Chad,0.0,0.45,0.0,0.9642801528707327,0.9642801528707327,0.0357198471292669,0.0,1.0,correct_consensus,200,0,200
N4/all_gpt_4o/seed_0039,4,Estonia,Chad,0.0,0.45,0.0,0.9642801528707327,0.9642801528707327,0.0357198471292669,0.0,1.0,correct_consensus,200,0,200
N4/all_gpt_4o/seed_0043,4,Austria,Yemen,0.0,0.45,0.0,0.9642801528707327,0.9642801528707327,0.0357198471292669,0.0,1.0,correct_consensus,200,0,200
N4/all_gpt_4o/seed_0045,4,Gabon,Chad,0.0,0.45,0.0,0.9642801528707327,0.9642801528707327,0.0357198471292669,0.0,1.0,correct_consensus,200,0,200
N4/all_gpt_4o/seed_0015,4,Estonia,Chad,0.015,0.44325,0.00675,0.9513280624359814,0.9375522997591739,0.0402953467458333,0.022152353494992165,0.0,wrong_consensus,197,3,200
N4/all_gpt_4o/seed_0020,4,Yemen,Ireland,0.015,0.44325,0.00675,0.9513280624359814,0.9375522997591739,0.0402953467458333,0.022152353494992165,1.0,correct_consensus,197,3,200
N4/all_gpt_4o/seed_0050,4,Luxembourg,Ukraine,0.015,0.44325,0.00675,0.9513280624359814,0.9375522997591739,0.0402953467458333,0.022152353494992165,0.0,polarization,197,3,200
N4/all_gpt_4o/seed_0004,4,France,Chad,0.02,0.441,0.009000000000000001,0.9470062253090922,0.9287632434317324,0.04185797249026688,0.029378784077999986,0.0,wrong_consensus,196,4,200
N4/all_gpt_4o/seed_0049,4,Belgium,Chad,0.135,0.38925,0.060750000000000005,0.8469847635697741,0.742540341434799,0.0833542069964583,0.17410545156874213,0.0,wrong_consensus,173,27,200
N4/all_gpt_4o/seed_0024,4,Ukraine,Chad,0.15,0.3825,0.0675,0.8338507285854614,0.7204082247847952,0.08960805341832932,0.1899837217968749,1.0,correct_consensus,170,30,200
N4/all_gpt_4o/seed_0005,4,Peru,France,0.25,0.3375,0.1125,0.7457703334523363,0.5846825210347951,0.1368522934183293,0.2784651855468749,1.0,correct_consensus,150,50,200
N4/all_gpt_4o/seed_0006,4,Nigeria,France,0.25,0.3375,0.1125,0.7457703334523363,0.5846825210347951,0.1368522934183293,0.2784651855468749,1.0,correct_consensus,150,50,200
N4/all_gpt_4o/seed_0009,4,Lithuania,Bulgaria,0.25,0.3375,0.1125,0.7457703334523363,0.5846825210347951,0.1368522934183293,0.2784651855468749,0.75,polarization,150,50,200
N4/all_gpt_4o/seed_0033,4,Nigeria,France,0.25,0.3375,0.1125,0.7457703334523363,0.5846825210347951,0.1368522934183293,0.2784651855468749,1.0,correct_consensus,150,50,200
N4/all_gpt_4o/seed_0051,4,France,Peru,0.25,0.3375,0.1125,0.7457703334523363,0.5846825210347951,0.1368522934183293,0.2784651855468749,1.0,correct_consensus,150,50,200
N4/all_gpt_4o/seed_0034,4,Mali,Guinea,0.265,0.33075,0.11925000000000001,0.7324800278965857,0.5660225439560492,0.14482403203645824,0.28915342400749205,0.5,polarization,147,53,200
N4/all_gpt_4o/seed_0001,4,Chad,Guinea,0.375,0.28125,0.16875,0.6343910221656648,0.4417287627950492,0.2110907715067082,0.34718046569824207,1.0,correct_consensus,125,75,200
N4/all_gpt_4o/seed_0023,4,Germany,Chad,0.455,0.24524999999999997,0.20475000000000002,0.5623576185089838,0.3642384504297992,0.2687119425914582,0.3670496069787421,1.0,correct_consensus,109,91,200
N4/all_gpt_4o/seed_0038,4,Russia,Estonia,0.48,0.234,0.216,0.5397264332933073,0.3420821512067329,0.2884962006652667,0.36942164812799977,1.0,correct_consensus,104,96,200
N4/all_gpt_4o/seed_0010,4,Nigeria,France,0.5,0.225,0.225,0.5215799749244493,0.32503054349573296,0.30496398775426675,0.37000546874999984,1.0,correct_consensus,100,100,200
N4/all_gpt_4o/seed_0042,4,Russia,Nigeria,0.5,0.225,0.225,0.5215799749244493,0.32503054349573296,0.30496398775426675,0.37000546874999984,1.0,correct_consensus,100,100,200
N4/all_gpt_4o/seed_0008,4,France,Chad,0.515,0.21825,0.23175,0.5079458856826565,0.31262570991073674,0.3176972172098956,0.369677072879367,1.0,correct_consensus,97,103,200
N4/all_gpt_4o/seed_0032,4,Belgium,Chad,0.515,0.21825,0.23175,0.5079458856826565,0.31262570991073674,0.3176972172098956,0.369677072879367,0.0,polarization,97,103,200
N4/all_gpt_4o/seed_0040,4,Lithuania,Bulgaria,0.515,0.21825,0.23175,0.5079458856826565,0.31262570991073674,0.3176972172098956,0.369677072879367,0.0,polarization,97,103,200
